x [mm],y [mm],intensity [arb]
-18.75,-43.75,7.11546611785888
-18.25,-43.75,7.14657068252563
-17.75,-43.75,7.07017469406127
-17.25,-43.75,6.89712905883789
-16.75,-43.75,6.64818143844604
-16.25,-43.75,6.35119438171386
-15.75,-43.75,6.0375337600708
-15.25,-43.75,5.73840141296386
-14.75,-43.75,5.48174428939819
-14.25,-43.75,5.29022026062011
-13.75,-43.75,5.18002653121948
-13.25,-43.75,5.16045427322387
-12.75,-43.75,5.2334337234497
-12.25,-43.75,5.39298677444458
-11.75,-43.75,5.62477779388427
-11.25,-43.75,5.90624570846557
-10.75,-43.75,6.20803499221801
-10.25,-43.75,6.49707651138305
-9.75,-43.75,6.74111318588256
-9.25,-43.75,6.91387605667114
-8.75,-43.75,6.99939537048339
-8.25,-43.75,6.99433708190918
-7.75,-43.75,6.90770816802978
-7.25,-43.75,6.7579698562622
-6.75,-43.75,6.56853103637695
-6.25,-43.75,6.36291885375976
-5.75,-43.75,6.16101169586181
-5.25,-43.75,5.97691965103149
-4.75,-43.75,5.8186388015747
-4.25,-43.75,5.68901920318603
-3.75,-43.75,5.58741235733032
-3.25,-43.75,5.51134586334228
-2.75,-43.75,5.45793437957763
-2.25,-43.75,5.42485666275024
-1.75,-43.75,5.41100692749023
-1.25,-43.75,5.41692543029785
-0.75,-43.75,5.44514036178588
-0.25,-43.75,5.50038385391235
0.25,-43.75,5.58970403671264
0.75,-43.75,5.72224903106689
1.25,-43.75,5.90877485275268
1.75,-43.75,6.16072607040405
2.25,-43.75,6.48888206481933
2.75,-43.75,6.9015998840332
3.25,-43.75,7.40280628204345
3.75,-43.75,7.98994779586792
4.25,-43.75,8.65228748321533
4.75,-43.75,9.37001800537109
5.25,-43.75,10.1147365570068
5.75,-43.75,10.8516092300415
6.25,-43.75,11.5429630279541
6.75,-43.75,12.1531229019165
7.25,-43.75,12.6530332565307
7.75,-43.75,13.0240011215209
8.25,-43.75,13.2595891952514
8.75,-43.75,13.3650131225585
9.25,-43.75,13.3547010421752
9.75,-43.75,13.2485361099243
10.25,-43.75,13.0678462982177
10.75,-43.75,12.8321084976196
11.25,-43.75,12.5571403503417
11.75,-43.75,12.2546091079711
12.25,-43.75,11.9328813552856
12.75,-43.75,11.5985593795776
13.25,-43.75,11.2581148147583
13.75,-43.75,10.9192924499511
14.25,-43.75,10.5916833877563
14.75,-43.75,10.2865619659423
15.25,-43.75,10.0160236358642
15.75,-43.75,9.79160022735595
16.25,-43.75,9.62253379821777
16.75,-43.75,9.51419639587402
17.25,-43.75,9.46690845489502
17.75,-43.75,9.47525882720947
18.25,-43.75,9.52826023101806
18.75,-43.75,9.61029911041259
19.25,-43.75,9.70287990570068
19.75,-43.75,9.78691482543945
20.25,-43.75,9.84532833099365
20.75,-43.75,9.86553192138671
21.25,-43.75,9.84123516082763
21.75,-43.75,9.77331733703613
22.25,-43.75,9.66950988769531
22.75,-43.75,9.54294967651367
23.25,-43.75,9.40992164611816
23.75,-43.75,9.28718280792236
24.25,-43.75,9.18934059143066
24.75,-43.75,9.12666130065918
25.25,-43.75,9.10365962982177
25.75,-43.75,9.1185245513916
26.25,-43.75,9.16345691680908
26.75,-43.75,9.22594356536865
27.25,-43.75,9.29070377349853
27.75,-43.75,9.34195232391357
28.25,-43.75,9.3656358718872
28.75,-43.75,9.35104846954345
29.25,-43.75,9.29156970977783
29.75,-43.75,9.18449401855468
30.25,-43.75,9.03017139434814
30.75,-43.75,8.8308048248291
31.25,-43.75,8.58954048156738
31.75,-43.75,8.31015110015869
32.25,-43.75,7.99732065200805
32.75,-43.75,7.6572413444519
33.25,-43.75,7.2983112335205
33.75,-43.75,6.9313006401062
34.25,-43.75,6.56880712509155
34.75,-43.75,6.22389078140258
35.25,-43.75,5.90825605392456
35.75,-43.75,5.63021564483642
36.25,-43.75,5.39302253723144
36.75,-43.75,5.19396352767944
37.25,-43.75,5.02472066879272
37.75,-43.75,4.8728551864624
38.25,-43.75,4.72424840927124
38.75,-43.75,4.56597757339477
39.25,-43.75,4.38901138305664
39.75,-43.75,4.18992185592651
40.25,-43.75,3.97143912315368
40.75,-43.75,3.74151873588562
41.25,-43.75,3.51131772994995
41.75,-43.75,3.29256296157836
42.25,-43.75,3.09496521949768
42.75,-43.75,2.92423963546752
43.25,-43.75,2.7811255455017
43.75,-43.75,2.66154742240905
44.25,-43.75,2.55762243270874
44.75,-43.75,2.45906472206115
-44.75,-43.25,4.20074224472045
-44.25,-43.25,4.60190439224243
-43.75,-43.25,4.91646194458007
-43.25,-43.25,5.14323234558105
-42.75,-43.25,5.28435277938842
