xmm,ymm,intensity
-43.75,-43.75,1.17578
-43.25,-43.75,1.45145
-42.75,-43.75,1.77337
-42.25,-43.75,2.13058
-41.75,-43.75,2.50429
-41.25,-43.75,2.86863
-40.75,-43.75,3.19319
-40.25,-43.75,3.44711
-39.75,-43.75,3.60393
-39.25,-43.75,3.64622
-38.75,-43.75,3.56875
-38.25,-43.75,3.37954
-37.75,-43.75,3.09836
-37.25,-43.75,2.75321
-36.75,-43.75,2.37567
-36.25,-43.75,1.99617
-35.75,-43.75,1.64014
-35.25,-43.75,1.32565
-34.75,-43.75,1.06292
-34.25,-43.75,0.85505
-33.75,-43.75,0.699924
-33.25,-43.75,0.592393
-32.75,-43.75,0.526315
-32.25,-43.75,0.496097
-31.75,-43.75,0.497494
-31.25,-43.75,0.527686
-30.75,-43.75,0.584779
-30.25,-43.75,0.666975
-29.75,-43.75,0.771711
-29.25,-43.75,0.894989
-28.75,-43.75,1.03115
-28.25,-43.75,1.1731
-27.75,-43.75,1.31302
-27.25,-43.75,1.44332
-26.75,-43.75,1.55765
-26.25,-43.75,1.65179
-25.75,-43.75,1.72416
-25.25,-43.75,1.77591
-24.75,-43.75,1.81064
-24.25,-43.75,1.83379
-23.75,-43.75,1.85196
-23.25,-43.75,1.87223
-22.75,-43.75,1.90163
-22.25,-43.75,1.9467
-21.75,-43.75,2.01325
-21.25,-43.75,2.10605
-20.75,-43.75,2.22849
-20.25,-43.75,2.38225
-19.75,-43.75,2.56679
-19.25,-43.75,2.77907
-18.75,-43.75,3.01329
-18.25,-43.75,3.26107
-17.75,-43.75,3.51197
-17.25,-43.75,3.75441
-16.75,-43.75,3.97698
-16.25,-43.75,4.16969
-15.75,-43.75,4.32534
-15.25,-43.75,4.44039
-14.75,-43.75,4.51542
-14.25,-43.75,4.55511
-13.75,-43.75,4.56778
-13.25,-43.75,4.56462
-12.75,-43.75,4.55873
-12.25,-43.75,4.56392
-11.75,-43.75,4.59344
-11.25,-43.75,4.6586
-10.75,-43.75,4.76707
-10.25,-43.75,4.92134
-9.75,-43.75,5.11742
-9.25,-43.75,5.34416
-8.75,-43.75,5.58375
-8.25,-43.75,5.81357
-7.75,-43.75,6.00929
-7.25,-43.75,6.1488
-6.75,-43.75,6.21607
-6.25,-43.75,6.20421
-5.75,-43.75,6.11674
-5.25,-43.75,5.96688
-4.75,-43.75,5.77503
-4.25,-43.75,5.56512
-3.75,-43.75,5.36071
-3.25,-43.75,5.18181
-2.75,-43.75,5.04291
-2.25,-43.75,4.95241
-1.75,-43.75,4.91297
-1.25,-43.75,4.92264
-0.75,-43.75,4.97586
-0.25,-43.75,5.0645
0.25,-43.75,5.1785
0.75,-43.75,5.30648
1.25,-43.75,5.43631
1.75,-43.75,5.55594
2.25,-43.75,5.65435
2.75,-43.75,5.72262
3.25,-43.75,5.75495
3.75,-43.75,5.74935
4.25,-43.75,5.70796
4.75,-43.75,5.63693
5.25,-43.75,5.54576
5.75,-43.75,5.44633
6.25,-43.75,5.35165
6.75,-43.75,5.27451
7.25,-43.75,5.22623
7.75,-43.75,5.21573
8.25,-43.75,5.24886
8.75,-43.75,5.32833
9.25,-43.75,5.45406
9.75,-43.75,5.62368
10.25,-43.75,5.8334
10.75,-43.75,6.0786
11.25,-43.75,6.35432
11.75,-43.75,6.65538
12.25,-43.75,6.97628
12.75,-43.75,7.31097
13.25,-43.75,7.65266
13.75,-43.75,7.99382
14.25,-43.75,8.32629
14.75,-43.75,8.64163
15.25,-43.75,8.93162
15.75,-43.75,9.18881
16.25,-43.75,9.40703
16.75,-43.75,9.58184
17.25,-43.75,9.71089
17.75,-43.75,9.7942
18.25,-43.75,9.83415
18.75,-43.75,9.83532
19.25,-43.75,9.80403
19.75,-43.75,9.74782
20.25,-43.75,9.67473
20.75,-43.75,9.59255
21.25,-43.75,9.50829
21.75,-43.75,9.42751
22.25,-43.75,9.35391
22.75,-43.75,9.28897
23.25,-43.75,9.23158
23.75,-43.75,9.17792
24.25,-43.75,9.12134
24.75,-43.75,9.05269
25.25,-43.75,8.96089
25.75,-43.75,8.83391
26.25,-43.75,8.66002
26.75,-43.75,8.42912
27.25,-43.75,8.13405
27.75,-43.75,7.7717
28.25,-43.75,7.3438
28.75,-43.75,6.85727
29.25,-43.75,6.32406
29.75,-43.75,5.76029
30.25,-43.75,5.18483
30.75,-43.75,4.6174
31.25,-43.75,4.07649
31.75,-43.75,3.57753
32.25,-43.75,3.13154
32.75,-43.75,2.74464
33.25,-43.75,2.41831
33.75,-43.75,2.1503
34.25,-43.75,1.93588
34.75,-43.75,1.76903
35.25,-43.75,1.64338
35.75,-43.75,1.55273
36.25,-43.75,1.49121
36.75,-43.75,1.45309
37.25,-43.75,1.43254
37.75,-43.75,1.42333
38.25,-43.75,1.41872
38.75,-43.75,1.41167
39.25,-43.75,1.3954
39.75,-43.75,1.36432
40.25,-43.75,1.31506
40.75,-43.75,1.24732
41.25,-43.75,1.16448
41.75,-43.75,1.0734
42.25,-43.75,0.983696
42.75,-43.75,0.90629
43.25,-43.75,0.851685
43.75,-43.75,0.828139
44.25,-43.75,0.840077
44.75,-43.75,0.887199
-44.75,-43.25,0.957279
-44.25,-43.25,1.1228
-43.75,-43.25,1.32358
-43.25,-43.25,1.56432
-42.75,-43.25,1.84453
-42.25,-43.25,2.15575
-41.75,-43.25,2.48322
-41.25,-43.25,2.80609
-40.75,-43.25,3.09921
-40.25,-43.25,3.33613
-39.75,-43.25,3.49297
-39.25,-43.25,3.5524
-38.75,-43.25,3.50664
-38.25,-43.25,3.35896
-37.75,-43.25,3.12308
-37.25,-43.25,2.82093
-36.75,-43.25,2.47903
-36.25,-43.25,2.12459
-35.75,-43.25,1.78197
-35.25,-43.25,1.4701
-34.75,-43.25,1.20137
-34.25,-43.25,0.981742
-33.75,-43.25,0.811879
-33.25,-43.25,0.688924
-32.75,-43.25,0.608297
-32.25,-43.25,0.565262
-31.75,-43.25,0.555886
-31.25,-43.25,0.577366
-30.75,-43.25,0.627761
-30.25,-43.25,0.705337
-29.75,-43.25,0.807804
-29.25,-43.25,0.931666
-28.75,-43.25,1.07192
-28.25,-43.25,1.2222
-27.75,-43.25,1.37526
-27.25,-43.25,1.52382
-26.75,-43.25,1.6614
-26.25,-43.25,1.78308
-25.75,-43.25,1.88601
-25.25,-43.25,1.96957
-24.75,-43.25,2.03527
-24.25,-43.25,2.08639
-23.75,-43.25,2.12753
-23.25,-43.25,2.16426
-22.75,-43.25,2.2027
-22.25,-43.25,2.24916
-21.75,-43.25,2.3098
-21.25,-43.25,2.39018
-20.75,-43.25,2.49476
-20.25,-43.25,2.62635
-19.75,-43.25,2.78564
-19.25,-43.25,2.97089
-18.75,-43.25,3.17778
-18.25,-43.25,3.39961
-17.75,-43.25,3.62782
-17.25,-43.25,3.85279
-16.75,-43.25,4.06485
-16.25,-43.25,4.2554
-15.75,-43.25,4.418
-15.25,-43.25,4.54922
-14.75,-43.25,4.64914
-14.25,-43.25,4.72145
-13.75,-43.25,4.77309
-13.25,-43.25,4.81362
-12.75,-43.25,4.85423
-12.25,-43.25,4.90656
-11.75,-43.25,4.98156
-11.25,-43.25,5.08803
-10.75,-43.25,5.23127
-10.25,-43.25,5.41183
-9.75,-43.25,5.62446
-9.25,-43.25,5.85781
-8.75,-43.25,6.09503
-8.25,-43.25,6.31551
-7.75,-43.25,6.49776
-7.25,-43.25,6.6228
-6.75,-43.25,6.67766
-6.25,-43.25,6.65787
-5.75,-43.25,6.56858
-5.25,-43.25,6.4238
-4.75,-43.25,6.24405
-4.25,-43.25,6.05296
-3.75,-43.25,5.8737
-3.25,-43.25,5.72601
-2.75,-43.25,5.62424
-2.25,-43.25,5.5767
-1.75,-43.25,5.58588
-1.25,-43.25,5.64935
-0.75,-43.25,5.76076
-0.25,-43.25,5.9108
0.25,-43.25,6.08806
0.75,-43.25,6.27972
1.25,-43.25,6.47234
1.75,-43.25,6.65271
2.25,-43.25,6.80878
2.75,-43.25,6.93063
3.25,-43.25,7.01131
3.75,-43.25,7.04749
4.25,-43.25,7.03973
4.75,-43.25,6.99258
5.25,-43.25,6.91416
5.75,-43.25,6.81555
6.25,-43.25,6.70982
6.75,-43.25,6.61092
7.25,-43.25,6.53243
7.75,-43.25,6.48634
8.25,-43.25,6.48219
8.75,-43.25,6.52654
9.25,-43.25,6.62289
9.75,-43.25,6.77192
10.25,-43.25,6.97204
10.75,-43.25,7.21983
11.25,-43.25,7.51045
11.75,-43.25,7.83768
12.25,-43.25,8.19394
12.75,-43.25,8.5702
13.25,-43.25,8.95624
13.75,-43.25,9.34097
14.25,-43.25,9.71311
14.75,-43.25,10.0619
15.25,-43.25,10.3778
15.75,-43.25,10.6532
16.25,-43.25,10.8823
16.75,-43.25,11.0616
17.25,-43.25,11.1895
17.75,-43.25,11.2665
18.25,-43.25,11.2949
18.75,-43.25,11.2785
19.25,-43.25,11.2226
19.75,-43.25,11.1334
20.25,-43.25,11.0178
20.75,-43.25,10.8831
21.25,-43.25,10.736
21.75,-43.25,10.5822
22.25,-43.25,10.426
22.75,-43.25,10.2699
23.25,-43.25,10.1138
23.75,-43.25,9.95521
24.25,-43.25,9.78913
24.75,-43.25,9.60831
25.25,-43.25,9.4039
25.75,-43.25,9.16638
26.25,-43.25,8.88669
26.75,-43.25,8.55745
27.25,-43.25,8.17404
27.75,-43.25,7.73549
28.25,-43.25,7.24512
28.75,-43.25,6.71067
29.25,-43.25,6.14409
29.75,-43.25,5.56075
30.25,-43.25,4.9781
30.75,-43.25,4.41414
31.25,-43.25,3.8855
31.75,-43.25,3.40582
32.25,-43.25,2.98455
32.75,-43.25,2.62632
33.25,-43.25,2.33114
33.75,-43.25,2.09513
34.25,-43.25,1.91181
34.75,-43.25,1.77331
35.25,-43.25,1.67152
35.75,-43.25,1.59883
36.25,-43.25,1.54847
36.75,-43.25,1.51449
37.25,-43.25,1.49152
37.75,-43.25,1.47449
38.25,-43.25,1.45842
38.75,-43.25,1.43842
39.25,-43.25,1.41003
39.75,-43.25,1.3697
40.25,-43.25,1.31546
40.75,-43.25,1.24749
41.25,-43.25,1.1685
41.75,-43.25,1.0837
42.25,-43.25,1.00033
42.75,-43.25,0.926667
43.25,-43.25,0.870822
43.75,-43.25,0.839361
44.25,-43.25,0.835979
44.75,-43.25,0.860749
-44.75,-42.75,1.21684
-44.25,-42.75,1.35548
-43.75,-42.75,1.5193
-43.25,-42.75,1.71518
-42.75,-42.75,1.94544
-42.25,-42.75,2.20512
-41.75,-42.75,2.48407
-41.25,-42.75,2.76669
-40.75,-42.75,3.03279
-40.25,-42.75,3.2596
-39.75,-42.75,3.42481
-39.25,-42.75,3.51
-38.75,-42.75,3.50372
-38.25,-42.75,3.40353
-37.75,-42.75,3.21659
-37.25,-42.75,2.95852
-36.75,-42.75,2.65097
-36.25,-42.75,2.3184
-35.75,-42.75,1.98468
-35.25,-42.75,1.67027
-34.75,-42.75,1.39037
-34.25,-42.75,1.15434
-33.75,-42.75,0.966076
-33.25,-42.75,0.825363
-32.75,-42.75,0.729473
-32.25,-42.75,0.674756
-31.75,-42.75,0.657781
-31.25,-42.75,0.67588
-30.75,-42.75,0.727084
-30.25,-42.75,0.809599
-29.75,-42.75,0.921104
-29.25,-42.75,1.05811
-28.75,-42.75,1.21562
-28.25,-42.75,1.38722
-27.75,-42.75,1.56551
-27.25,-42.75,1.7428
-26.75,-42.75,1.91194
-26.25,-42.75,2.06697
-25.75,-42.75,2.20362
-25.25,-42.75,2.31949
-24.75,-42.75,2.41409
-24.25,-42.75,2.48871
-23.75,-42.75,2.54624
-23.25,-42.75,2.59099
-22.75,-42.75,2.62859
-22.25,-42.75,2.6656
-21.75,-42.75,2.70914
-21.25,-42.75,2.76619
-20.75,-42.75,2.84281
-20.25,-42.75,2.94339
-19.75,-42.75,3.06999
-19.25,-42.75,3.22204
-18.75,-42.75,3.39636
-18.25,-42.75,3.5875
-17.75,-42.75,3.78839
-17.25,-42.75,3.9911
-16.75,-42.75,4.18773
-16.25,-42.75,4.37122
-15.75,-42.75,4.53623
-15.25,-42.75,4.6797
-14.75,-42.75,4.8013
-14.25,-42.75,4.90358
-13.75,-42.75,4.99177
-13.25,-42.75,5.07326
-12.75,-42.75,5.15682
-12.25,-42.75,5.25157
-11.75,-42.75,5.36588
-11.25,-42.75,5.50617
-10.75,-42.75,5.67573
-10.25,-42.75,5.87376
-9.75,-42.75,6.09462
-9.25,-42.75,6.32773
-8.75,-42.75,6.55821
-8.25,-42.75,6.76846
-7.75,-42.75,6.94057
-7.25,-42.75,7.05923
-6.75,-42.75,7.11452
-6.25,-42.75,7.10407
-5.75,-42.75,7.03386
-5.25,-42.75,6.91762
-4.75,-42.75,6.77477
-4.25,-42.75,6.62751
-3.75,-42.75,6.49771
-3.25,-42.75,6.40422
-2.75,-42.75,6.361
-2.25,-42.75,6.37632
-1.75,-42.75,6.45275
-1.25,-42.75,6.58779
-0.75,-42.75,6.77464
-0.25,-42.75,7.00321
0.25,-42.75,7.26095
0.75,-42.75,7.53379
1.25,-42.75,7.80695
1.75,-42.75,8.06594
2.25,-42.75,8.29738
2.75,-42.75,8.48991
3.25,-42.75,8.63485
3.75,-42.75,8.7268
4.25,-42.75,8.76406
4.75,-42.75,8.74886
5.25,-42.75,8.68739
5.75,-42.75,8.58962
6.25,-42.75,8.46869
6.75,-42.75,8.33999
7.25,-42.75,8.21991
7.75,-42.75,8.12444
8.25,-42.75,8.0678
8.75,-42.75,8.06141
9.25,-42.75,8.11335
9.75,-42.75,8.22814
10.25,-42.75,8.40694
10.75,-42.75,8.64784
11.25,-42.75,8.94618
11.75,-42.75,9.29464
12.25,-42.75,9.68333
12.75,-42.75,10.1001
13.25,-42.75,10.5309
13.75,-42.75,10.9611
14.25,-42.75,11.3758
14.75,-42.75,11.7619
15.25,-42.75,12.1081
15.75,-42.75,12.4062
16.25,-42.75,12.6505
16.75,-42.75,12.8378
17.25,-42.75,12.9671
17.75,-42.75,13.0386
18.25,-42.75,13.0542
18.75,-42.75,13.0164
19.25,-42.75,12.9291
19.75,-42.75,12.7972
20.25,-42.75,12.6262
20.75,-42.75,12.4229
21.25,-42.75,12.1941
21.75,-42.75,11.9463
22.25,-42.75,11.6855
22.75,-42.75,11.4161
23.25,-42.75,11.1403
23.75,-42.75,10.8584
24.25,-42.75,10.5681
24.75,-42.75,10.2649
25.25,-42.75,9.9427
25.75,-42.75,9.59466
26.25,-42.75,9.21404
26.75,-42.75,8.79539
27.25,-42.75,8.33556
27.75,-42.75,7.83451
28.25,-42.75,7.29583
28.75,-42.75,6.72699
29.25,-42.75,6.13905
29.75,-42.75,5.54598
30.25,-42.75,4.96352
30.75,-42.75,4.40776
31.25,-42.75,3.89351
31.75,-42.75,3.43278
32.25,-42.75,3.03361
32.75,-42.75,2.69943
33.25,-42.75,2.42904
33.75,-42.75,2.21725
34.25,-42.75,2.05611
34.75,-42.75,1.93613
35.25,-42.75,1.84763
35.75,-42.75,1.78176
36.25,-42.75,1.73101
36.75,-42.75,1.68945
37.25,-42.75,1.65253
37.75,-42.75,1.61673
38.25,-42.75,1.57923
38.75,-42.75,1.53761
39.25,-42.75,1.48989
39.75,-42.75,1.43456
40.25,-42.75,1.3709
40.75,-42.75,1.29929
41.25,-42.75,1.22145
41.75,-42.75,1.14053
42.25,-42.75,1.06094
42.75,-42.75,0.987893
43.25,-42.75,0.926724
43.75,-42.75,0.882019
44.25,-42.75,0.856609
44.75,-42.75,0.851005
-44.75,-42.25,1.53288
-44.25,-42.25,1.6338
-43.75,-42.25,1.74982
-43.25,-42.25,1.89189
-42.75,-42.25,2.06651
-42.25,-42.25,2.2729
-41.75,-42.25,2.50557
-41.25,-42.25,2.75348
-40.75,-42.25,3.00024
-40.25,-42.25,3.22538
-39.75,-42.25,3.40683
-39.25,-42.25,3.52403
-38.75,-42.25,3.56126
-38.25,-42.25,3.51033
-37.75,-42.25,3.37208
-37.25,-42.25,3.15639
-36.75,-42.25,2.88061
-36.25,-42.25,2.56701
-35.75,-42.25,2.23944
-35.25,-42.25,1.92014
-34.75,-42.25,1.62734
-34.25,-42.25,1.37389
-33.75,-42.25,1.16706
-33.25,-42.25,1.00943
-32.75,-42.25,0.900328
-32.25,-42.25,0.837435
-31.75,-42.25,0.818064
-31.25,-42.25,0.839875
-30.75,-42.25,0.900943
-30.25,-42.25,0.999302
-29.75,-42.25,1.13226
-29.25,-42.25,1.29576
-28.75,-42.25,1.48403
-28.25,-42.25,1.68974
-27.75,-42.25,1.9044
-27.25,-42.25,2.11919
-26.75,-42.25,2.32573
-26.25,-42.25,2.51675
-25.75,-42.25,2.68654
-25.25,-42.25,2.83118
-24.75,-42.25,2.94863
-24.25,-42.25,3.03868
-23.75,-42.25,3.10304
-23.25,-42.25,3.14536
-22.75,-42.25,3.17122
-22.25,-42.25,3.18795
-21.75,-42.25,3.20402
-21.25,-42.25,3.22823
-20.75,-42.25,3.26857
-20.25,-42.25,3.33118
-19.75,-42.25,3.41959
-19.25,-42.25,3.53431
-18.75,-42.25,3.67306
-18.25,-42.25,3.83129
-17.75,-42.25,4.00297
-17.25,-42.25,4.18151
-16.75,-42.25,4.36044
-16.25,-42.25,4.53407
-15.75,-42.25,4.69799
-15.25,-42.25,4.84943
-14.75,-42.25,4.98756
