Time [ms],Trace [mG]
-0.520665,0.0198742
-0.519657,-1.71771
-0.518649,1.01517
-0.517641,-0.495362
-0.516633,1.70106
-0.515625,1.9307
-0.514617,3.40781
-0.513609,4.02861
-0.512601,5.73857
-0.511593,5.48222
-0.510585,5.38136
-0.509577,8.94389
-0.508569,7.54709
-0.50756,8.53213
-0.506552,11.7073
-0.505544,12.3192
-0.504536,12.8865
-0.503528,13.3727
-0.50252,14.2476
-0.501512,15.8278
-0.500504,18.1875
-0.499496,17.6551
-0.498488,19.7308
-0.49748,21.7965
-0.496472,23.1016
-0.495464,23.9575
-0.494456,25.8583
-0.493448,26.4023
-0.49244,26.5931
-0.491431,27.7863
-0.490423,28.8722
-0.489415,30.1972
-0.488407,31.8347
-0.487399,33.0253
-0.486391,34.0311
-0.485383,35.2165
-0.484375,36.7711
-0.483367,37.7703
-0.482359,37.7045
-0.481351,40.5324
-0.480343,39.9362
-0.479335,41.514
-0.478327,42.7551
-0.477319,45.0915
-0.47631,45.5931
-0.475302,46.8894
-0.474294,48.0372
-0.473286,48.5143
-0.472278,48.2943
-0.47127,50.8323
-0.470262,51.8267
-0.469254,52.7228
-0.468246,54.2271
-0.467238,55.351
-0.46623,54.9299
-0.465222,57.5689
-0.464214,58.5512
-0.463206,58.725
-0.462198,60.8496
-0.46119,61.4008
-0.460181,61.2829
-0.459173,61.9495
-0.458165,63.0137
-0.457157,64.3954
-0.456149,66.483
-0.455141,65.6261
-0.454133,67.0187
-0.453125,68.3581
-0.452117,69.0714
-0.451109,70.0867
-0.450101,70.243
-0.449093,72.9873
-0.448085,72.0406
-0.447077,74.1642
-0.446069,74.6717
-0.44506,75.5906
-0.444052,75.0575
-0.443044,76.3806
-0.442036,78.824
-0.441028,78.9186
-0.44002,79.4196
-0.439012,79.1839
-0.438004,78.9638
-0.436996,81.9523
-0.435988,82.6541
-0.43498,84.0879
-0.433972,83.9151
-0.432964,85.9915
-0.431956,85.7548
-0.430948,86.7159
-0.42994,88.6726
-0.428931,88.7238
-0.427923,88.2828
-0.426915,89.3817
-0.425907,91.2347
-0.424899,91.1626
-0.423891,92.0459
-0.422883,92.7079
-0.421875,92.5267
-0.420867,94.924
-0.419859,94.7577
-0.418851,95.2536
-0.417843,95.6173
-0.416835,97.394
-0.415827,96.6357
-0.414819,97.4235
-0.41381,99.3028
-0.412802,100.171
-0.411794,100.518
-0.410786,100.151
-0.409778,102.183
-0.40877,102.03
-0.407762,102.312
-0.406754,103.756
-0.405746,103.942
-0.404738,105.405
-0.40373,105.056
-0.402722,107.116
-0.401714,105.466
-0.400706,106.222
-0.399698,107.777
-0.39869,108.909
-0.397681,109.025
-0.396673,109.197
-0.395665,110.167
-0.394657,110.262
-0.393649,110.497
-0.392641,111.826
-0.391633,111.441
-0.390625,111.902
-0.389617,112.062
-0.388609,113.469
-0.387601,113.262
-0.386593,114.072
-0.385585,114.952
-0.384577,115.306
-0.383569,115.405
-0.38256,114.482
-0.381552,116.083
-0.380544,115.699
-0.379536,115.977
-0.378528,117.085
-0.37752,116.218
-0.376512,117.778
-0.375504,118.311
-0.374496,118.525
-0.373488,118.252
-0.37248,119.442
-0.371472,119.378
-0.370464,120.444
-0.369456,119.919
-0.368448,120.221
-0.36744,119.736
-0.366431,121.596
-0.365423,121.908
-0.364415,122.562
-0.363407,122.505
-0.362399,123.234
-0.361391,122.619
-0.360383,123.206
-0.359375,123.63
-0.358367,124.266
-0.357359,124.63
-0.356351,124.176
-0.355343,124.982
-0.354335,125.492
-0.353327,125.713
-0.352319,126.008
-0.35131,126.574
-0.350302,126.66
-0.349294,126.103
-0.348286,126.642
-0.347278,126.798
-0.34627,127.744
-0.345262,126.609
-0.344254,127.333
-0.343246,127.628
-0.342238,128.348
-0.34123,128.117
-0.340222,128.365
-0.339214,126.926
-0.338206,127.592
-0.337198,128.937
-0.33619,128.993
-0.335181,128.455
-0.334173,128.013
-0.333165,128.685
-0.332157,128.611
-0.331149,129.37
-0.330141,129.167
-0.329133,129.718
-0.328125,128.946
-0.327117,129.304
-0.326109,128.675
-0.325101,128.307
-0.324093,128.798
-0.323085,129.631
-0.322077,128.218
-0.321069,129.734
-0.32006,128.764
-0.319052,129.426
-0.318044,129.848
-0.317036,128.236
-0.316028,129.375
-0.31502,128.115
-0.314012,128.438
-0.313004,128.458
-0.311996,128.639
-0.310988,128.604
-0.30998,128.176
-0.308972,126.947
-0.307964,128.177
-0.306956,129.857
-0.305948,127.687
-0.30494,128.493
-0.303931,128.506
-0.302923,128.268
-0.301915,128.079
-0.300907,127.301
-0.299899,127.404
-0.298891,127.791
-0.297883,127.534
-0.296875,127.346
-0.295867,127.791
-0.294859,127.377
-0.293851,126.819
-0.292843,126.717
-0.291835,127.991
-0.290827,127.478
-0.289819,127.553
-0.28881,126.726
-0.287802,125.697
-0.286794,125.427
-0.285786,125.902
-0.284778,124.819
-0.28377,126.356
-0.282762,126.026
-0.281754,124.725
-0.280746,124.938
-0.279738,124.419
-0.27873,124.836
-0.277722,124.258
-0.276714,123.502
-0.275706,124.801
-0.274698,123.068
-0.27369,122.241
-0.272681,121.873
-0.271673,122.556
-0.270665,122.253
-0.269657,123.759
-0.268649,123.375
-0.267641,122.145
-0.266633,121.765
-0.265625,120.588
-0.264617,120.542
-0.263609,120.72
-0.262601,119.863
-0.261593,120.392
-0.260585,119.914
-0.259577,118.306
-0.258569,118.899
-0.25756,118.26
-0.256552,118.89
-0.255544,117.117
-0.254536,117.403
-0.253528,115.823
-0.25252,116.804
-0.251512,115.776
-0.250504,116.012
-0.249496,116.694
-0.248488,114.266
-0.24748,114.695
-0.246472,115.732
-0.245464,113.57
-0.244456,113.246
-0.243448,113.654
-0.24244,114.623
-0.241431,112.656
-0.240423,112.111
-0.239415,112.9
-0.238407,111.027
-0.237399,110.411
-0.236391,110.146
-0.235383,109.235
-0.234375,110.187
-0.233367,108.962
-0.232359,109.629
-0.231351,108.93
-0.230343,108.496
-0.229335,107.875
-0.228327,107.291
-0.227319,107.51
-0.22631,104.621
-0.225302,105.929
-0.224294,104.957
-0.223286,105.164
-0.222278,104.533
-0.22127,103.643
-0.220262,103.419
-0.219254,103.217
-0.218246,102.304
-0.217238,102.395
-0.21623,102.483
-0.215222,101.291
-0.214214,100.794
-0.213206,100.153
-0.212198,99.0651
-0.21119,99.7358
-0.210181,98.9194
-0.209173,98.7523
-0.208165,97.5647
-0.207157,97.5048
-0.206149,96.3316
-0.205141,96.0847
-0.204133,95.8516
-0.203125,95.2629
-0.202117,94.5163
-0.201109,94.9349
-0.200101,94.4381
-0.199093,93.3144
-0.198085,91.5156
-0.197077,91.2475
-0.196069,91.0585
-0.19506,90.7815
-0.194052,89.9085
-0.193044,90.0551
-0.192036,88.824
-0.191028,88.9512
-0.19002,88.1193
-0.189012,87.4412
-0.188004,87.6198
-0.186996,86.433
-0.185988,87.1694
-0.18498,85.0185
-0.183972,84.3768
-0.182964,84.0945
-0.181956,83.4031
-0.180948,82.5695
-0.17994,82.9988
-0.178931,81.798
-0.177923,82.5994
-0.176915,79.9987
-0.175907,81.0476
-0.174899,79.9188
-0.173891,78.2808
-0.172883,77.9225
-0.171875,78.0077
-0.170867,78.4682
-0.169859,76.6608
-0.168851,76.696
-0.167843,75.6037
-0.166835,75.2751
-0.165827,74.1117
-0.164819,75.5296
-0.16381,72.8741
-0.162802,72.053
-0.161794,70.9955
-0.160786,71.8855
-0.159778,72.1837
-0.15877,70.6899
-0.157762,70.3715
-0.156754,68.2404
-0.155746,69.4148
-0.154738,67.543
-0.15373,66.2759
-0.152722,66.3024
-0.151714,66.7957
-0.150706,65.492
-0.149698,65.8787
-0.14869,65.9177
-0.147681,63.9873
-0.146673,64.8883
-0.145665,63.6901
-0.144657,62.2171
-0.143649,62.5678
-0.142641,62.2597
-0.141633,60.7845
-0.140625,60.5017
-0.139617,59.2077
-0.138609,58.4396
-0.137601,58.2001
-0.136593,58.1953
-0.135585,56.17
-0.134577,56.0966
-0.133569,55.4634
-0.13256,55.9834
-0.131552,53.7552
-0.130544,53.5589
-0.129536,52.9884
-0.128528,53.1824
-0.12752,52.0111
-0.126512,50.3188
-0.125504,50.649
-0.124496,50.9113
-0.123488,49.4558
-0.12248,49.3854
-0.121472,48.3657
-0.120464,47.7523
-0.119456,46.8717
-0.118448,46.9516
-0.11744,45.6718
-0.116431,45.2524
-0.115423,44.9913
-0.114415,44.7659
-0.113407,43.4139
-0.112399,41.9393
-0.111391,41.9897
-0.110383,41.585
-0.109375,42.2612
-0.108367,39.9507
-0.107359,40.3763
-0.106351,39.6172
-0.105343,39.4006
-0.104335,38.4814
-0.103327,36.9901
-0.102319,36.6697
-0.10131,36.4145
-0.100302,35.727
-0.0992944,34.9927
-0.0982863,34.5937
-0.0972782,34.0406
-0.0962702,33.6043
-0.0952621,33.165
-0.094254,32.9083
-0.093246,32.763
-0.0922379,31.5608
-0.0912298,30.0715
-0.0902218,29.5171
-0.0892137,29.2197
-0.0882056,29.1349
-0.0871976,28.3961
-0.0861895,27.8926
-0.0851815,27.079
-0.0841734,26.7253
-0.0831653,26.1308
-0.0821573,24.8714
-0.0811492,24.3864
-0.0801411,23.2045
-0.0791331,24.5477
-0.078125,21.5639
-0.0771169,22.6056
-0.0761089,21.3577
-0.0751008,22.5454
-0.0740927,20.4445
-0.0730847,19.8833
-0.0720766,19.5756
-0.0710685,19.262
-0.0700605,19.0684
-0.0690524,17.2855
-0.0680444,16.2453
-0.0670363,16.299
-0.0660282,16.1337
-0.0650202,15.8188
-0.0640121,15.0129
-0.063004,15.2916
-0.061996,13.9703
-0.0609879,12.5695
-0.0599798,12.836
-0.0589718,11.7353
-0.0579637,11.6228
-0.0569556,11.1561
-0.0559476,10.8028
-0.0549395,9.94668
-0.0539315,10.2111
-0.0529234,9.34919
-0.0519153,8.6347
-0.0509073,7.42793
-0.0498992,7.57816
-0.0488911,5.47005
-0.0478831,6.08655
-0.046875,6.08133
-0.0458669,5.99106
-0.0448589,5.13848
-0.0438508,3.58555
-0.0428427,3.84265
-0.0418347,2.55347
-0.0408266,1.53144
-0.0398185,2.16017
-0.0388105,2.35626
-0.0378024,1.69688
-0.0367944,0.504407
-0.0357863,0.760223
-0.0347782,0.143069
-0.0337702,-1.94844
-0.0327621,-0.93227
-0.031754,-1.98608
-0.030746,-3.15278
-0.0297379,-1.9244
-0.0287298,-2.34748
-0.0277218,-3.18635
-0.0267137,-3.27919
-0.0257056,-4.39967
-0.0246976,-4.07963
-0.0236895,-3.48976
-0.0226815,-3.62431
-0.0216734,-3.21823
-0.0206653,-3.22681
-0.0196573,-2.41918
-0.0186492,-2.36676
-0.0176411,-3.83312
-0.0166331,-1.66191
-0.015625,-2.53742
-0.0146169,-2.14789
-0.0136089,-1.25715
-0.0126008,-0.498391
-0.0115927,-1.3984
-0.0105847,0.328368
-0.00957661,-0.189612
-0.00856855,-0.48393
-0.00756048,1.39428
-0.00655242,0.973569
-0.00554435,0.326042
-0.00453629,1.47014
-0.00352823,1.00755
-0.00252016,2.24929
-0.0015121,0.485296
-0.000504032,1.61251
0.000504032,-21973.7
0.0015121,-23095.5
0.00252016,-12019.1
0.00352823,-54.7212
0.00453629,-57.5681
0.00554435,-57.7527
0.00655242,-48.4908
0.00756048,-41.2464
0.00856855,-35.5593
0.00957661,-34.4114
0.0105847,-51.9131
0.0115927,-45.401
0.0126008,-28.7047
0.0136089,-26.7763
0.0146169,-26.0486
0.015625,-25.1512
0.0166331,-25.05
0.0176411,-26.744
0.0186492,-27.9668
0.0196573,-21.8742
0.0206653,-18.6743
0.0216734,-16.9489
0.0226815,-18.4987
0.0236895,-18.9495
0.0246976,-21.5847
0.0257056,-20.2743
0.0267137,-17.7018
0.0277218,-16.1067
0.0287298,-15.0321
0.0297379,-14.8392
0.030746,-15.0956
0.031754,-14.2719
0.0327621,-14.1968
0.0337702,-15.066
0.0347782,-14.9187
0.0357863,-15.9438
0.0367944,-16.3
0.0378024,-16.0092
0.0388105,-15.334
0.0398185,-14.8928
0.0408266,-16.1094
0.0418347,-14.1746
0.0428427,-14.9894
0.0438508,-14.7995
0.0448589,-14.2297
0.0458669,-13.9309
0.046875,-15.033
0.0478831,-13.8075
0.0488911,-13.3995
0.0498992,-12.7187
0.0509073,-13.5617
0.0519153,-13.3235
0.0529234,-13.6471
0.0539315,-12.5662
0.0549395,-13.7442
0.0559476,-12.7103
0.0569556,-12.2721
0.0579637,-12.3734
0.0589718,-12.4874
0.0599798,-12.7303
0.0609879,-12.4151
0.061996,-10.5552
0.063004,-11.4828
0.0640121,-12.1412
0.0650202,-10.5581
0.0660282,-9.9544
0.0670363,-10.8893
0.0680444,-9.84027
0.0690524,-9.25529
0.0700605,-9.86228
0.0710685,-9.74013
0.0720766,-9.2306
0.0730847,-7.69473
0.0740927,-8.87888
0.0751008,-7.65626
0.0761089,-7.40367
0.0771169,-7.9419
0.078125,-6.74467
0.0791331,-7.36187
0.0801411,-7.18229
0.0811492,-7.12171
0.0821573,-7.79925
0.0831653,-4.82706
0.0841734,-6.2005
0.0851815,-5.73508
0.0861895,-4.64016
0.0871976,-3.95164
0.0882056,-4.82183
0.0892137,-2.76969
0.0902218,-4.07433
0.0912298,-5.08452
0.0922379,-4.40514
0.093246,-3.54047
0.094254,-4.39702
0.0952621,-4.42193
0.0962702,-2.7223
0.0972782,-4.77521
0.0982863,-3.93563
0.0992944,-3.83171
0.100302,-2.96715
0.10131,-3.48749
0.102319,-3.61172
0.103327,-4.51783
0.104335,-3.62577
0.105343,-3.82855
0.106351,-4.68987
0.107359,-4.84882
0.108367,-4.90784
0.109375,-3.34412
0.110383,-3.65662
0.111391,-3.3905
0.112399,-4.01984
0.113407,-4.42391
0.114415,-5.46129
0.115423,-4.18076
0.116431,-5.94094
0.11744,-5.51452
0.118448,-5.25068
0.119456,-4.84516
0.120464,-5.60109
0.121472,-5.14796
0.12248,-5.20245
0.123488,-4.63631
0.124496,-4.43993
0.125504,-5.76504
0.126512,-5.47441
0.12752,-5.71438
