Time [us],Trace [arb. u.]
-0.618704,-0.00115795
-0.614704,-0.000678039
-0.610704,-0.0014781
-0.606704,-0.00197712
-0.602704,-0.0011605
-0.598704,-0.000363666
-0.594704,-6.2678e-06
-0.590704,-0.000696381
-0.586704,-0.000486398
-0.582704,0.000660278
-0.578704,-0.000768646
-0.574704,-0.00142274
-0.570704,-0.00280498
-0.566704,-0.00139873
-0.562704,-0.00033954
-0.558704,-0.00128656
-0.554704,0.000390588
-0.550704,3.95309e-05
-0.546704,-0.000715503
-0.542704,0.000940866
-0.538704,-0.000219372
-0.534704,-0.000574218
-0.530704,-0.000113098
-0.526704,-0.000212374
-0.522704,-1.93832e-05
-0.518704,-0.00088214
-0.514704,-0.00120586
-0.510704,0.000392594
-0.506704,-0.000143998
-0.502704,-0.00185062
-0.498704,0.000547118
-0.494704,0.000245402
-0.490704,0.000592025
-0.486704,0.000941646
-0.482704,0.000189497
-0.478704,0.0010726
-0.474704,0.00101356
-0.470704,-0.000206925
-0.466704,-0.000544421
-0.462704,0.00101901
-0.458704,0.000618269
-0.454704,-0.000392126
-0.450704,0.00042472
-0.446704,0.00110628
-0.442704,0.000347799
-0.438704,-0.000258061
-0.434704,0.000957424
-0.430704,0.000510422
-0.426704,-0.000249169
-0.422704,-0.000552979
-0.418704,0.000238628
-0.414704,0.000841032
-0.410704,0.000463063
-0.406704,0.00138863
-0.402704,0.00152437
-0.398704,0.000304217
-0.394704,0.000379367
-0.390704,0.000555676
-0.386704,0.000152368
-0.382704,0.000283757
-0.378704,-0.000254507
-0.374704,-0.000902711
-0.370704,0.00151836
-0.366704,0.00138286
-0.362704,-0.000193029
-0.358704,-0.000187691
-0.354704,-7.48544e-05
-0.350704,-0.000746304
-0.346704,-0.000206702
-0.342704,-0.00190487
-0.338704,-0.00186329
-0.334704,-0.00196756
-0.330704,-0.00105268
-0.326704,-0.0039432
-0.322704,-0.00188997
-0.318704,-0.000592114
-0.314704,-0.00230496
-0.310704,1.16281e-05
-0.306704,0.000831806
-0.302704,-0.00112815
-0.298704,-5.95097e-05
-0.294704,0.00343587
-0.290704,-0.000320319
-0.286704,0.00010356
-0.282704,0.00323588
-0.278704,0.00224495
-0.274704,0.000176815
-0.270704,0.000627483
-0.266704,-0.000421478
-0.262704,-0.000278397
-0.258704,0.000459187
-0.254704,0.000778898
-0.250704,0.000632152
-0.246704,0.000371243
-0.242704,0.00257
-0.238704,0.00218736
-0.234704,0.000696961
-0.230704,0.00191168
-0.226704,0.000650939
-0.222704,0.00170646
-0.218704,0.000579913
-0.214704,0.00128104
-0.210704,0.00169856
-0.206704,0.000816474
-0.202704,-0.000342327
-0.198704,0.000284649
-0.194704,-0.000110324
-0.190704,0.000872168
-0.186704,0.00184531
-0.182704,0.00190689
-0.178704,0.00094686
-0.174704,0.00150147
-0.170704,0.000962873
-0.166704,-4.80662e-05
-0.162704,0.0012718
-0.158704,0.000471522
-0.154704,0.00116664
-0.150704,0.00170446
-0.146704,-0.001933
-0.142704,0.00404026
-0.138704,0.00573644
-0.134704,0.0093262
-0.130704,0.0169797
-0.126704,0.0232456
-0.122704,0.0358951
-0.118704,0.0504641
-0.114704,0.081319
-0.110704,0.110911
-0.106704,0.15016
-0.102704,0.20407
-0.0987043,0.245994
-0.0947043,0.298026
-0.0907043,0.351678
-0.0867043,0.399991
-0.0827043,0.443535
-0.0787043,0.494367
-0.0747043,0.544605
-0.0707043,0.587974
-0.0667043,0.628477
-0.0627043,0.664167
-0.0587043,0.701786
-0.0547043,0.731546
-0.0507043,0.761582
-0.0467043,0.791245
-0.0427043,0.818257
-0.0387043,0.845167
-0.0347043,0.873771
-0.0307043,0.892415
-0.0267043,0.91504
-0.0227043,0.94077
-0.0187043,0.955121
-0.0147043,0.968028
-0.0107043,0.975612
-0.00670426,0.981683
-0.00270426,0.993337
0.00129574,0.996218
0.00529574,0.995736
0.00929574,0.996128
0.0132957,0.993266
0.0172957,0.987386
0.0212957,0.974331
0.0252957,0.949959
0.0292957,0.921668
0.0332957,0.889111
0.0372957,0.84731
0.0412957,0.811006
0.0452957,0.775505
0.0492957,0.734741
0.0532957,0.694604
0.0572957,0.655895
0.0612957,0.616629
0.0652957,0.580248
0.0692957,0.543819
0.0732957,0.507621
0.0772957,0.47893
0.0812957,0.447112
0.0852957,0.41343
0.0892957,0.386939
0.0932957,0.364284
0.0972957,0.333891
0.101296,0.308169
0.105296,0.279578
0.109296,0.255616
0.113296,0.232936
0.117296,0.207422
0.121296,0.182121
0.125296,0.163241
0.129296,0.144218
0.133296,0.118511
0.137296,0.0994722
0.141296,0.0847363
0.145296,0.067024
0.149296,0.049689
0.153296,0.032555
0.157296,0.0164872
0.161296,-0.00349042
0.165296,-0.022485
0.169296,-0.0379018
0.173296,-0.0504968
0.177296,-0.0614786
0.181296,-0.0665233
0.185296,-0.0652926
0.189296,-0.0642131
0.193296,-0.064218
0.197296,-0.0594123
0.201296,-0.0530464
0.205296,-0.0469291
0.209296,-0.0435853
0.213296,-0.0358255
0.217296,-0.0285521
0.221296,-0.0223238
0.225296,-0.0173199
0.229296,-0.0100195
0.233296,-0.00453549
0.237296,-0.00285567
0.241296,-0.00545417
0.245296,-0.00755741
0.249296,-0.0150294
0.253296,-0.0223347
0.257296,-0.0315465
0.261296,-0.0366488
0.265296,-0.0393398
0.269296,-0.0437221
0.273296,-0.0454785
0.277296,-0.0501728
0.281296,-0.0523321
0.285296,-0.0554291
0.289296,-0.0620718
0.293296,-0.0682183
0.297296,-0.0697626
0.301296,-0.066855
0.305296,-0.0698043
0.309296,-0.0715445
0.313296,-0.0752061
0.317296,-0.0736814
0.321296,-0.0738934
0.325296,-0.073821
0.329296,-0.0701482
0.333296,-0.0622881
0.337296,-0.0528148
0.341296,-0.0432036
0.345296,-0.0297699
0.349296,-0.0165743
0.353296,-0.00128345
0.357296,0.0128865
0.361296,0.0292038
0.365296,0.0462992
0.369296,0.0646038
0.373296,0.0868912
0.377296,0.104079
