x (mm),y (mm),intensity (arb. units)
-28.75,-44.25,4.457649405750507e-07
-28.25,-44.25,4.5868950679137573e-07
-27.75,-44.25,4.7190288332077054e-07
-27.25,-44.25,4.854113544147542e-07
-26.75,-44.25,4.992269007238554e-07
-26.25,-44.25,5.133658681468322e-07
-25.75,-44.25,5.278467907000319e-07
-25.25,-44.25,5.426876332362719e-07
-24.75,-44.25,5.57902760852609e-07
-24.25,-44.25,5.735003756687798e-07
-23.75,-44.25,5.894813492040352e-07
-23.25,-44.25,6.058400092830353e-07
-22.75,-44.25,6.225679227038521e-07
-22.25,-44.25,6.396603280506758e-07
-21.75,-44.25,6.57124197175009e-07
-21.25,-44.25,6.749864629074657e-07
-20.75,-44.25,6.933004268104039e-07
-20.25,-44.25,7.121483134124022e-07
-19.75,-44.25,7.316390364328166e-07
-19.25,-44.25,7.519008050006265e-07
-18.75,-44.25,7.730696161959086e-07
-18.25,-44.25,7.952753055067828e-07
-17.75,-44.25,8.186276590518772e-07
-17.25,-44.25,8.43204891269441e-07
-16.75,-44.25,8.690463555548195e-07
-16.25,-44.25,8.961512675624951e-07
-15.75,-44.25,9.2448349061279e-07
-15.25,-44.25,9.539812319162083e-07
-14.75,-44.25,9.845698960485718e-07
-14.25,-44.25,1.0161751183554206e-06
-13.75,-44.25,1.048733393815646e-06
-13.25,-44.25,1.0821983141843273e-06
-12.75,-44.25,1.1165418522551697e-06
-12.25,-44.25,1.151750934815973e-06
-11.75,-44.25,1.187820884797555e-06
-11.25,-44.25,1.224747520888629e-06
-10.75,-44.25,1.2625200952328914e-06
-10.25,-44.25,1.3011160517497794e-06
-9.75,-44.25,1.3404981688829436e-06
-9.25,-44.25,1.3806142721570345e-06
-8.75,-44.25,1.4213984213457455e-06
-8.25,-44.25,1.4627729594764652e-06
-7.75,-44.25,1.5046512075888591e-06
-7.25,-44.25,1.5469407444642024e-06
-6.75,-44.25,1.5895471207169941e-06
-6.25,-44.25,1.6323784353712739e-06
-5.75,-44.25,1.6753506592959158e-06
-5.25,-44.25,1.718393513969585e-06
-4.75,-44.25,1.7614544945024749e-06
-4.25,-44.25,1.8045008454046738e-06
-3.75,-44.25,1.84751766748077e-06
-3.25,-44.25,1.8905024137471812e-06
-2.75,-44.25,1.9334565753904038e-06
-2.25,-44.25,1.97637628749881e-06
-1.75,-44.25,2.0192441766699398e-06
-1.25,-44.25,2.062024331383508e-06
