x (mm),y (mm),intensity (arb. units)
-44.75,-43.75,1.044763890048646e-07
-44.25,-43.75,1.0087765545249185e-07
-43.75,-43.75,1.0040274868314066e-07
-43.25,-43.75,1.0313500383313281e-07
-42.75,-43.75,1.0890113402218124e-07
-42.25,-43.75,1.1738420700815854e-07
-41.75,-43.75,1.2816229374114217e-07
-41.25,-43.75,1.4074717274248404e-07
-40.75,-43.75,1.5462477675093738e-07
-40.25,-43.75,1.692954640476939e-07
-39.75,-43.75,1.8431095921213665e-07
-39.25,-43.75,1.993035674774486e-07
-38.75,-43.75,2.1400510612293447e-07
-38.25,-43.75,2.2825396090069327e-07
-37.75,-43.75,2.4199064190488467e-07
-37.25,-43.75,2.552440256771688e-07
-36.75,-43.75,2.681108194769678e-07
-36.25,-43.75,2.8073142847418783e-07
-35.75,-43.75,2.93265590588696e-07
-35.25,-43.75,3.0587024630404985e-07
-34.75,-43.75,3.186820094344198e-07
-34.25,-43.75,3.318058179208443e-07
-33.75,-43.75,3.4531091117254107e-07
-33.25,-43.75,3.5923310302421556e-07
-32.75,-43.75,3.735812405264423e-07
-32.25,-43.75,3.883459990123303e-07
-31.75,-43.75,4.035080910916995e-07
-31.25,-43.75,4.1904382651907405e-07
-30.75,-43.75,4.349279036966682e-07
-30.25,-43.75,4.5113316312643203e-07
-29.75,-43.75,4.676283471302453e-07
-29.25,-43.75,4.84375236752595e-07
-28.75,-43.75,5.013261393123184e-07
-28.25,-43.75,5.184226519673094e-07
-27.75,-43.75,5.355962796960942e-07
-27.25,-43.75,5.527723048570677e-07
-26.75,-43.75,5.698764430570993e-07
-26.25,-43.75,5.868448221594346e-07
-25.75,-43.75,6.036352481598351e-07
-25.25,-43.75,6.202380172489297e-07
-24.75,-43.75,6.366841234469531e-07
-24.25,-43.75,6.530481354517624e-07
-23.75,-43.75,6.694449093196875e-07
-23.25,-43.75,6.860203824748352e-07
-22.75,-43.75,7.029376125216967e-07
-22.25,-43.75,7.203608553780842e-07
-21.75,-43.75,7.384405884738468e-07
-21.25,-43.75,7.573014945453032e-07
-20.75,-43.75,7.770353070425867e-07
-20.25,-43.75,7.976989185167437e-07
-19.75,-43.75,8.193174370476246e-07
-19.25,-43.75,8.418906038515261e-07
-18.75,-43.75,8.653998872416139e-07
-18.25,-43.75,8.898145064967782e-07
-17.75,-43.75,9.150956296907484e-07
-17.25,-43.75,9.411984396232057e-07
-16.75,-43.75,9.680739967984482e-07
-16.25,-43.75,9.956722588390973e-07
-15.75,-43.75,1.0239477826848036e-06
-15.25,-43.75,1.0528690499710665e-06
-14.75,-43.75,1.0824296346660207e-06
-14.25,-43.75,1.1126588379833274e-06
-13.75,-43.75,1.143628490439684e-06
-13.25,-43.75,1.1754534922156892e-06
-12.75,-43.75,1.2082838372170304e-06
-12.25,-43.75,1.2422890678840603e-06
-11.75,-43.75,1.277636838855231e-06
-11.25,-43.75,1.3144687635623608e-06
-10.75,-43.75,1.3528781517128763e-06
-10.25,-43.75,1.3928932055834628e-06
-9.75,-43.75,1.4344686842900403e-06
-9.25,-43.75,1.4774876464491192e-06
-8.75,-43.75,1.5217728998928926e-06
-8.25,-43.75,1.5671059501848071e-06
-7.75,-43.75,1.6132504983856065e-06
-7.25,-43.75,1.6599755716554212e-06
