x (mm),y (mm),intensity (arb. units)
44.25,-44.75,6.298971317651361e-08
44.75,-44.75,6.529248830861723e-08
-44.75,-44.25,8.00427636117442e-08
-44.25,-44.25,7.681612412575765e-08
-43.75,-44.25,7.621657403436154e-08
-43.25,-44.25,7.843065135132461e-08
-42.75,-44.25,8.340347319807878e-08
-42.25,-44.25,9.095906711198863e-08
-41.75,-44.25,1.0082433963084652e-07
-41.25,-44.25,1.1265355916560983e-07
-40.75,-44.25,1.2605442105192412e-07
-40.25,-44.25,1.4061609152169747e-07
-39.75,-44.25,1.5593756182115424e-07
-39.25,-44.25,1.7165366368348664e-07
-38.75,-44.25,1.8745602368049916e-07
-38.25,-44.25,2.0310679103806233e-07
-37.75,-44.25,2.184441328472214e-07
-37.25,-44.25,2.3338008888986237e-07
-36.75,-44.25,2.4789167813457223e-07
-36.25,-44.25,2.620078980832737e-07
-35.75,-44.25,2.7579452925567814e-07
-35.25,-44.25,2.8933861918661077e-07
-34.75,-44.25,3.0273470820393275e-07
-34.25,-44.25,3.160735651414048e-07
-33.75,-44.25,3.2943470402328623e-07
-33.25,-44.25,3.428826167966093e-07
-32.75,-44.25,3.564667757228276e-07
-32.25,-44.25,3.702245298461652e-07
-31.75,-44.25,3.841861035985462e-07
-31.25,-44.25,3.98380577185775e-07
-30.75,-44.25,4.128411457174384e-07
-30.25,-44.25,4.2760829801493967e-07
-29.75,-44.25,4.4273027623209316e-07
-29.25,-44.25,4.582600627618326e-07
-28.75,-44.25,4.7424958733650807e-07
-28.25,-44.25,4.907427960189423e-07
-27.75,-44.25,5.07768901485344e-07
-27.25,-44.25,5.253380939894992e-07
-26.75,-44.25,5.434410013236764e-07
-26.25,-44.25,5.62051494314411e-07
-25.75,-44.25,5.811328438550433e-07
-25.25,-44.25,6.006449701008145e-07
-24.75,-44.25,6.205507271221826e-07
-24.25,-44.25,6.408196572285814e-07
-23.75,-44.25,6.614287420042062e-07
-23.25,-44.25,6.823603462388273e-07
-22.75,-44.25,7.035989962001494e-07
-22.25,-44.25,7.251285657131857e-07
-21.75,-44.25,7.469313745675772e-07
-21.25,-44.25,7.689900009834196e-07
-20.75,-44.25,7.91291564593077e-07
-20.25,-44.25,8.138339668778921e-07
-19.75,-44.25,8.366327766652568e-07
-19.25,-44.25,8.59726634826411e-07
-18.75,-44.25,8.83180407239773e-07
-18.25,-44.25,9.070854710174595e-07
-17.75,-44.25,9.315564725633282e-07
-17.25,-44.25,9.567241598683118e-07
-16.75,-44.25,9.827260388720998e-07
-16.25,-44.25,1.0096946096991699e-06
-15.75,-44.25,1.0377454579182162e-06
-15.25,-44.25,1.0669670735394507e-06
-14.75,-44.25,1.0974141589328875e-06
-14.25,-44.25,1.1291057743446123e-06
-13.75,-44.25,1.1620281196080673e-06
-13.25,-44.25,1.1961416461724821e-06
-12.75,-44.25,1.231389750421133e-06
-12.25,-44.25,1.2677079254355992e-06
-11.75,-44.25,1.305030845681265e-06
-11.25,-44.25,1.343296814845642e-06
-10.75,-44.25,1.3824501168075726e-06
-10.25,-44.25,1.4224423163784991e-06
-9.75,-44.25,1.4632334376214658e-06
-9.25,-44.25,1.5047937262415563e-06
-8.75,-44.25,1.547105674370427e-06
-8.25,-44.25,1.5901649198578175e-06
-7.75,-44.25,1.6339785410562033e-06
-7.25,-44.25,1.6785603954585209e-06
-6.75,-44.25,1.723922354027808e-06
-6.25,-44.25,1.7700631648768136e-06
-5.75,-44.25,1.8169571822818833e-06
-5.25,-44.25,1.8645445719518432e-06
-4.75,-44.25,1.912725350773899e-06
-4.25,-44.25,1.961357994946424e-06
-3.75,-44.25,2.010262580298082e-06
-3.25,-44.25,2.0592263231328398e-06
-2.75,-44.25,2.1080099640912463e-06
-2.25,-44.25,2.1563531782757986e-06
-1.75,-44.25,2.203979124147026e-06
-1.25,-44.25,2.250598611494191e-06
-0.75,-44.25,2.2959153680412647e-06
-0.25,-44.25,2.3396336431875773e-06
0.25,-44.25,2.3814676702277462e-06
0.75,-44.25,2.4211519298416494e-06
1.25,-44.25,2.458450152056049e-06
1.75,-44.25,2.4931606548635864e-06
2.25,-44.25,2.5251163720287037e-06
2.75,-44.25,2.554179256078257e-06
3.25,-44.25,2.5802320051352896e-06
3.75,-44.25,2.6031675409640255e-06
4.25,-44.25,2.622880420224019e-06
4.75,-44.25,2.639261299416338e-06
5.25,-44.25,2.6521949230969866e-06
5.75,-44.25,2.661561191547119e-06
6.25,-44.25,2.6672385665788534e-06
6.75,-44.25,2.669108216820936e-06
7.25,-44.25,2.6670588829700894e-06
7.75,-44.25,2.660991711003538e-06
8.25,-44.25,2.6508252096235865e-06
8.75,-44.25,2.6365004917993343e-06
9.25,-44.25,2.6179868233982913e-06
9.75,-44.25,2.5952868384187712e-06
10.25,-44.25,2.5684425314923744e-06
10.75,-44.25,2.5375402988106416e-06
11.25,-44.25,2.5027150139519955e-06
11.75,-44.25,2.4641537467224062e-06
12.25,-44.25,2.4220972696671767e-06
12.75,-44.25,2.3768404361728807e-06
13.25,-44.25,2.328730418466275e-06
13.75,-44.25,2.278162531999729e-06
14.25,-44.25,2.225573503237569e-06
14.75,-44.25,2.171431755434619e-06
15.25,-44.25,2.1162245886751433e-06
15.75,-44.25,2.0604422110358063e-06
16.25,-44.25,2.0045593697912627e-06
16.75,-44.25,1.949016686228854e-06
17.25,-44.25,1.8942034746849112e-06
17.75,-44.25,1.8404437325201619e-06
18.25,-44.25,1.7879862190093442e-06
18.75,-44.25,1.7370003525832822e-06
19.25,-44.25,1.6875770123427366e-06
19.75,-44.25,1.6397337319372523e-06
20.25,-44.25,1.5934235196081006e-06
20.75,-44.25,1.5485461234906358e-06
21.25,-44.25,1.504961235863596e-06
21.75,-44.25,1.4625028352307754e-06
22.25,-44.25,1.420995125985437e-06
22.75,-44.25,1.3802689279365935e-06
23.25,-44.25,1.3401776035832142e-06
23.75,-44.25,1.3006109610233586e-06
24.25,-44.25,1.2615053038796873e-06
24.75,-44.25,1.2228475138845716e-06
25.25,-44.25,1.18467270617287e-06
25.75,-44.25,1.1470554392900618e-06
