x [mm],y [mm],Beam dist
-2.25,-44.25,0.00323193
-1.75,-44.25,0.00332761
-1.25,-44.25,0.00342328
-0.75,-44.25,0.0034912
-0.25,-44.25,0.00355912
0.25,-44.25,0.00362704
0.75,-44.25,0.00369496
1.25,-44.25,0.00376288
1.75,-44.25,0.003831
2.25,-44.25,0.00389911
2.75,-44.25,0.00396723
3.25,-44.25,0.00403534
3.75,-44.25,0.00410345
4.25,-44.25,0.0041764
4.75,-44.25,0.00424935
5.25,-44.25,0.00432229
5.75,-44.25,0.00439524
6.25,-44.25,0.00446819
6.75,-44.25,0.00449528
7.25,-44.25,0.00452238
7.75,-44.25,0.00454947
8.25,-44.25,0.00457657
8.75,-44.25,0.00460366
9.25,-44.25,0.00460482
9.75,-44.25,0.00460597
10.25,-44.25,0.00460713
10.75,-44.25,0.00460829
11.25,-44.25,0.00460944
11.75,-44.25,0.00453113
12.25,-44.25,0.00445281
12.75,-44.25,0.0043745
13.25,-44.25,0.00429619
13.75,-44.25,0.00421787
14.25,-44.25,0.00412387
14.75,-44.25,0.00402986
15.25,-44.25,0.00393586
15.75,-44.25,0.00384185
16.25,-44.25,0.00374785
16.75,-44.25,0.00362581
17.25,-44.25,0.00350378
17.75,-44.25,0.00338175
18.25,-44.25,0.00325972
18.75,-44.25,0.00313768
19.25,-44.25,0.00302415
19.75,-44.25,0.00291061
20.25,-44.25,0.00279707
20.75,-44.25,0.00268353
21.25,-44.25,0.00256999
21.75,-44.25,0.00246914
22.25,-44.25,0.0023683
22.75,-44.25,0.00226745
23.25,-44.25,0.0021666
23.75,-44.25,0.00206576
24.25,-44.25,0.00197893
24.75,-44.25,0.00189209
25.25,-44.25,0.00180526
25.75,-44.25,0.00171843
26.25,-44.25,0.00163159
26.75,-44.25,0.00156252
27.25,-44.25,0.00149344
27.75,-44.25,0.00142436
28.25,-44.25,0.00135529
28.75,-44.25,0.00128621
29.25,-44.25,0.00123263
29.75,-44.25,0.00117905
30.25,-44.25,0.00112548
30.75,-44.25,0.0010719
31.25,-44.25,0.00101832
31.75,-44.25,0.000973884
32.25,-44.25,0.000929449
32.75,-44.25,0.000885013
33.25,-44.25,0.000840578
33.75,-44.25,0.000796142
34.25,-44.25,0.000758339
34.75,-44.25,0.000720535
35.25,-44.25,0.000682731
35.75,-44.25,0.000644928
36.25,-44.25,0.000607124
36.75,-44.25,0.000554982
37.25,-44.25,0.00050284
37.75,-44.25,0.000450698
38.25,-44.25,0.000398556
38.75,-44.25,0.000346414
39.25,-44.25,0.000279061
39.75,-44.25,0.000211707
40.25,-44.25,0.000144354
40.75,-44.25,7.70009e-05
