x [mm],y [mm],Beam dist
-24.75,-42.75,0.000753507
-24.25,-42.75,0.000780629
-23.75,-42.75,0.000807751
-23.25,-42.75,0.000848333
-22.75,-42.75,0.000888915
-22.25,-42.75,0.000929498
-21.75,-42.75,0.00097008
-21.25,-42.75,0.00101066
-20.75,-42.75,0.00106411
-20.25,-42.75,0.00111755
-19.75,-42.75,0.001171
-19.25,-42.75,0.00122444
-18.75,-42.75,0.00127789
-18.25,-42.75,0.00133337
-17.75,-42.75,0.00138885
-17.25,-42.75,0.00144433
-16.75,-42.75,0.00149982
-16.25,-42.75,0.0015553
-15.75,-42.75,0.00164207
-15.25,-42.75,0.00172884
-14.75,-42.75,0.00181561
-14.25,-42.75,0.00190238
-13.75,-42.75,0.00198915
-13.25,-42.75,0.0020847
-12.75,-42.75,0.00218026
-12.25,-42.75,0.00227582
-11.75,-42.75,0.00237138
-11.25,-42.75,0.00246693
-10.75,-42.75,0.00258329
-10.25,-42.75,0.00269964
-9.75,-42.75,0.00281599
-9.25,-42.75,0.00293235
-8.75,-42.75,0.0030487
-8.25,-42.75,0.00315827
-7.75,-42.75,0.00326784
-7.25,-42.75,0.00337741
-6.75,-42.75,0.00348699
-6.25,-42.75,0.00359656
-5.75,-42.75,0.00373684
-5.25,-42.75,0.00387712
-4.75,-42.75,0.0040174
-4.25,-42.75,0.00415769
-3.75,-42.75,0.00429797
-3.25,-42.75,0.00441804
-2.75,-42.75,0.00453811
-2.25,-42.75,0.00465819
-1.75,-42.75,0.00477826
-1.25,-42.75,0.00489834
-0.75,-42.75,0.00499877
-0.25,-42.75,0.00509921
0.25,-42.75,0.00519965
0.75,-42.75,0.00530009
1.25,-42.75,0.00540052
1.75,-42.75,0.00546572
2.25,-42.75,0.00553091
2.75,-42.75,0.0055961
3.25,-42.75,0.0056613
3.75,-42.75,0.00572649
4.25,-42.75,0.00571979
4.75,-42.75,0.0057131
5.25,-42.75,0.0057064
5.75,-42.75,0.00569971
6.25,-42.75,0.00569301
6.75,-42.75,0.00563734
7.25,-42.75,0.00558167
7.75,-42.75,0.00552599
8.25,-42.75,0.00547032
8.75,-42.75,0.00541465
9.25,-42.75,0.00529842
9.75,-42.75,0.00518219
10.25,-42.75,0.00506596
10.75,-42.75,0.00494973
11.25,-42.75,0.0048335
11.75,-42.75,0.00469023
12.25,-42.75,0.00454695
12.75,-42.75,0.00440368
13.25,-42.75,0.0042604
13.75,-42.75,0.00411712
14.25,-42.75,0.00395983
14.75,-42.75,0.00380253
15.25,-42.75,0.00364524
15.75,-42.75,0.00348794
16.25,-42.75,0.00333065
16.75,-42.75,0.00318815
17.25,-42.75,0.00304565
17.75,-42.75,0.00290316
18.25,-42.75,0.00276066
18.75,-42.75,0.00261816
19.25,-42.75,0.00251267
19.75,-42.75,0.00240717
20.25,-42.75,0.00230168
20.75,-42.75,0.00219619
21.25,-42.75,0.00209069
21.75,-42.75,0.0020011
22.25,-42.75,0.00191151
22.75,-42.75,0.00182193
23.25,-42.75,0.00173234
23.75,-42.75,0.00164275
24.25,-42.75,0.00157275
24.75,-42.75,0.00150276
25.25,-42.75,0.00143276
25.75,-42.75,0.00136277
26.25,-42.75,0.00129278
26.75,-42.75,0.00123152
27.25,-42.75,0.00117026
27.75,-42.75,0.001109
28.25,-42.75,0.00104775
28.75,-42.75,0.000986489
29.25,-42.75,0.000943963
29.75,-42.75,0.000901437
30.25,-42.75,0.000858912
30.75,-42.75,0.000816386
31.25,-42.75,0.00077386
31.75,-42.75,0.000735698
32.25,-42.75,0.000697535
32.75,-42.75,0.000659373
33.25,-42.75,0.000621211
33.75,-42.75,0.000583048
34.25,-42.75,0.000551983
34.75,-42.75,0.000520918
35.25,-42.75,0.000489853
35.75,-42.75,0.000458788
36.25,-42.75,0.000427723
36.75,-42.75,0.000386019
37.25,-42.75,0.000344314
37.75,-42.75,0.00030261
38.25,-42.75,0.000260905
38.75,-42.75,0.000219201
39.25,-42.75,0.000182031
39.75,-42.75,0.000144862
40.25,-42.75,0.000107693
