x [mm],y [mm],Beam dist
10.75,-43.75,0.00270549
11.25,-43.75,0.00265514
11.75,-43.75,0.00260055
12.25,-43.75,0.00254596
12.75,-43.75,0.00249138
13.25,-43.75,0.00243679
13.75,-43.75,0.0023822
14.25,-43.75,0.00230958
14.75,-43.75,0.00223696
15.25,-43.75,0.00216434
15.75,-43.75,0.00209172
16.25,-43.75,0.0020191
16.75,-43.75,0.00195067
17.25,-43.75,0.00188225
17.75,-43.75,0.00181383
18.25,-43.75,0.0017454
18.75,-43.75,0.00167698
19.25,-43.75,0.00163716
19.75,-43.75,0.00159735
20.25,-43.75,0.00155753
20.75,-43.75,0.00151771
21.25,-43.75,0.0014779
21.75,-43.75,0.0014022
22.25,-43.75,0.0013265
22.75,-43.75,0.00125081
23.25,-43.75,0.00117511
23.75,-43.75,0.00109941
24.25,-43.75,0.00106321
24.75,-43.75,0.00102701
25.25,-43.75,0.000990806
25.75,-43.75,0.000954604
26.25,-43.75,0.000918402
26.75,-43.75,0.000871687
27.25,-43.75,0.000824973
27.75,-43.75,0.000778259
28.25,-43.75,0.000731544
28.75,-43.75,0.00068483
29.25,-43.75,0.000663946
29.75,-43.75,0.000643063
30.25,-43.75,0.000622179
30.75,-43.75,0.000601295
31.25,-43.75,0.000580411
31.75,-43.75,0.000557692
32.25,-43.75,0.000534973
32.75,-43.75,0.000512253
33.25,-43.75,0.000489534
33.75,-43.75,0.000466814
34.25,-43.75,0.000437765
34.75,-43.75,0.000408716
35.25,-43.75,0.000379667
35.75,-43.75,0.000350618
36.25,-43.75,0.000321569
36.75,-43.75,0.000282745
37.25,-43.75,0.000243921
37.75,-43.75,0.000205097
38.25,-43.75,0.000166273
38.75,-43.75,0.000127449
39.25,-43.75,0.000102215
39.75,-43.75,7.69805e-05
40.25,-43.75,5.17463e-05
40.75,-43.75,2.65121e-05
41.25,-43.75,1.27791e-06
41.75,-43.75,2.18394e-06
42.25,-43.75,3.08996e-06
42.75,-43.75,3.99598e-06
43.25,-43.75,4.902e-06
43.75,-43.75,5.80802e-06
44.25,-43.75,5.80802e-06
44.75,-43.75,5.80802e-06
-44.75,-43.25,2.95891e-06
-44.25,-43.25,2.95891e-06
-43.75,-43.25,2.95891e-06
-43.25,-43.25,6.75253e-05
-42.75,-43.25,0.000132092
